BARCODE,AVAILABILITY,LOCATION,LOCATION 2,FRAME NO.,PKEY,MANUFACTURER,MODEL,SIZE,F COLOUR,F GROUP,SUPPLIER,DISPLAY STOCK,QUANTITY,F TYPE,SUPBARCODE,ISTOCKCODE,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,REORDATE,REORDER,REORDER QTY,RRP,EXLISTPR,LIST PRICE,EXCOSTPR,COST PRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,EXDPRECOST,DPRECOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTY ON ORDER,QTY ON APPRO,RELEASE,AVAIL FROM,AVAIL TILL,FRANGE,SRV CHARGE,EXLIST SRV,LIST SRV,EXRRP SRV,RRP SRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PS CREATED,PS UPDATE AT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUP STATUS,LLAB ORDER,LDOWNLOAD,UUID,NOTE,PHOTO,BARCODE_CLEAN
10582,,OPT,,ORO000461,198102,Camilla,Moody Mornings,53-14,Navy,F,ORO,,1,LS,,,145.0,39,50.0,,,/  /,0.0,0.0,390,160.0,176.0,128.0,140.8,128.0,140.8,128.0,140.8,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10582.0
10583,,OPT,,ORO000462,198103,Camilla,The Sphinx,50-20,Azure Blue,F,ORO,,1,LS,,,145.0,43,50.0,,,/  /,0.0,0.0,390,160.0,176.0,128.0,140.8,128.0,140.8,128.0,140.8,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10583.0
10584,,OPT,,ORO000463,198104,Camilla,Happy in the Hamptons,52-19,Blue Grad,F,ORO,,1,LS,,,45.0,46,56.0,,,/  /,0.0,0.0,390,145.45,160.0,116.36,128.0,116.36,128.0,116.36,128.0,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10584.0
10585,,OPT,,ORO000464,198105,Camilla,Nile Goddess,51-22,Navy Tort,F,ORO,,1,LS,,,145.0,41,50.0,,,/  /,0.0,0.0,390,172.73,190.0,138.18,152.0,138.18,152.0,138.18,152.0,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10585.0
10586,,OPT,,ORO000465,198106,Camilla,Nothing in Moderation,59-16,Gold,F,ORO,,1,UM,,,140.0,52,62.0,,,/  /,0.0,0.0,390,172.73,190.0,138.18,152.0,138.18,152.0,138.18,152.0,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,20.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10586.0
10587,,OPT,,ORO000466,198107,OROTON,ALEENA,53-16,2456142,S,ORO,,1,LM,,,140.0,46,54.0,,,/  /,0.0,0.0,340,140.0,154.0,98.0,107.8,98.0,107.8,98.0,107.8,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,30.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10587.0
10588,,OPT,,ORO000467,198108,OROTON,EVERLEIGH,58-15,2456488,F,ORO,,1,LS,,,140.0,43,58.0,,,/  /,0.0,0.0,269,269.0,295.9,188.3,207.13,188.3,207.13,188.3,207.13,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,30.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10588.0
10589,,OPT,,ORO000468,198109,OROTON,EMILY,53-17,2456492,F,ORO,,1,LS,,,140.0,54,,,,/  /,0.0,0.0,249,113.18,124.5,79.23,87.15,79.23,87.15,79.23,87.15,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,30.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10589.0
10590,,OPT,,ORO000469,198110,OROTON,PEGGY,51-19,2355608,F,ORO,,1,LS,,,140.0,41,54.0,,,/  /,0.0,0.0,269,122.27,134.5,85.59,94.15,85.59,94.15,85.59,94.15,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,30.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10590.0
10591,,OPT,,ORO000470,198111,OROTON,EASTON,53-21,2356490,F,ORO,,1,LS,,,140.0,44,57.0,,,/  /,0.0,0.0,249,113.18,124.5,79.23,87.15,79.23,87.15,79.23,87.15,0.0,0.0,0.0,0.0,0.0,/  /,/  /,45552.0,45552.0,/  /,0.0,,1651141.0,30.0,10,PO,,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,/  /       :  :,,/  /       :  :,,,,,,F,F,,,,10591.0
